City,Latitude,Longitude,AQI
Saint Pete Beach,27.7253065,-82.741212,2.0
Northborough,52.6592107,-0.2985578,2.0
Waunakee,43.1919623,-89.4548402,3.0
Cave Spring,34.1075975,-85.3363434,3.0
Victoriaville,46.0554948,-71.9598586,3.0
Cunduacan,18.066059,-93.173675,1.0
Twin Falls,42.5704456,-114.4602554,2.0
Port Arthur,29.8988618,-93.9288723,4.0
Eau Claire,44.811349,-91.4984941,2.0
Scottsboro,34.6731323,-86.0338765,3.0
South Farmingdale,40.7206555,-73.4401232,4.0
Phenix City,32.4709761,-85.0007653,3.0
North Ogden,41.3048815,-111.9650256,2.0
Fort Erie,42.91308,-78.918611,3.0
Redford,55.9060194,-3.2438518,2.0
Hawkesbury,-33.34070135,150.82847852148703,1.0
Carolina,18.3808516,-65.9570244,1.0
Canandaigua,42.850682,-77.31914542488306,3.0
Bethel Park,40.3275697,-80.0394977,3.0
Acuautla,20.490278,-98.033611,2.0
Kerrville,30.0474688,-99.1400207,3.0
Arlington,32.7355816,-97.1071186,3.0
Findlay,41.0413873,-83.6503982,3.0
Banning,33.9255685,-116.875289,2.0
Worthington,43.6205056,-95.5956434,2.0
Brigham City,41.5110434,-112.0154991,2.0
Starkville,33.4503998,-88.8183872,3.0
Fairbanks,64.837845,-147.716675,2.0
Surprise,33.6292271,-112.3680189,2.0
Amecameca,19.1249264,-98.7664606,2.0
Beachwood,41.464498,-81.508732,3.0
Ridgefield,41.2814842,-73.4981792,3.0
Maplewood,45.0082216,-93.0456985,2.0
Bakersfield,35.3738712,-119.0194639,3.0
Milwaukie,45.4440051,-122.6412523,1.0
Torrington,41.8006523,-73.1212214,3.0
Wells,51.2094511,-2.6451203,2.0
Northport,40.9009595,-73.343167,3.0
Rocky River,41.4756031,-81.8393034,3.0
Walnut Park,33.9692761,-118.2239906,4.0
Kamloops,50.6758269,-120.339415,1.0
Temple City,34.1082994,-118.0577568,3.0
Worth,53.4684056,10.4092105,1.0
Valley Falls,39.343232,-95.4597273,3.0
Hastings,50.8553888,0.5824703,2.0
Philadelphia,39.9527237,-75.1635262,3.0
Yajalon,17.1724317,-92.3332966,1.0
Melville,50.9307241,-102.807296,2.0
Johnstown,40.3267407,-78.9219698,3.0
Woodland,38.6786109,-121.7733285,2.0
Round Lake Beach,42.3716881,-88.0900806,3.0
Keizer,44.9969,-123.0266267,1.0
Felipe Carrillo Puerto,19.5776465,-88.0463096,1.0
Robstown,27.7903032,-97.6688843,3.0
Grand Island,40.924271,-98.338685,2.0
Truro,50.2633173,-5.0518107,2.0
Guadalupe,39.4520201,-5.3276183,1.0
Stevens Point,44.5229223,-89.574111,3.0
Waco,31.549333,-97.1466695,3.0
Ringwood,50.829262299999996,-1.7711280913147434,2.0
Vicksburg,32.3528055,-90.8777342,3.0
Thompson,55.743347,-97.863464,1.0
Acatic,20.7805923,-102.9101603,2.0
Tuxtla,20.000556,-97.654444,2.0
Orizaba,18.8497366,-97.1060062,1.0
Sandwich,51.2752527,1.3408309,2.0
Rockland,44.1036988,-69.1075562,2.0
South Jordan,40.5584882,-111.9367107,2.0
Beatrice,40.266429,-96.747369,3.0
Townsend,35.6753657,-83.7557282,3.0
Forest Hill,32.6720778,-97.2691812,3.0
Alderwood Manor,47.8023821,-122.2586266,2.0
