Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
25.7743,-80.1937,2,200.27,0.07,1.74,98.71,3.41,0.94,0.74
41.6484,-70.4811,4,357.15,0.59,5.66,151.63,29.54,26.96,5.72
39.2504,-76.933,3,233.65,0.57,1.93,113.01,8.86,7.45,2.24
42.5834,-71.8023,3,226.97,0.21,1.46,108.72,6.83,6.5,0.62
20.3,-103.4333,2,195.27,1.11,0.62,86.55,2.12,1.77,1.45
42.9098,-85.7631,3,290.39,1.17,3.38,137.33,19.47,18.02,5.6
48.9465,-122.4521,2,216.96,0.12,4.11,68.67,2.54,1.52,0.89
41.6459,-88.6217,3,247.0,1.16,0.99,114.44,11.67,10.46,2.53
35.1478,-114.5683,1,230.31,4.81,2.83,59.37,19.16,5.29,0.18
19.4167,-98.9,2,240.33,0.63,7.8,70.81,4.11,3.41,12.64
34.09,-118.3617,3,313.76,2.19,21.76,133.04,25.99,13.73,10.25
46.1159,-64.8019,2,236.99,0.15,0.96,90.84,10.48,9.99,0.91
33.5726,-84.4133,4,253.68,0.57,3.9,157.36,14.93,12.93,5.48
21.35,-101.9167,2,163.56,0.69,0.41,77.25,0.71,0.5,0.08
31.3271,-89.2903,3,223.64,1.35,0.7,108.72,7.76,6.86,1.03
36.4337,-99.3904,3,216.96,0.81,0.41,105.86,8.62,6.9,1.13
47.7623,-122.2054,2,243.66,0.29,10.2,60.08,6.79,3.37,2.5
42.6406,-84.5153,3,280.38,1.06,2.31,117.3,15.93,15.05,2.98
39.0131,-104.7008,2,180.24,0.21,1.06,74.39,2.41,1.36,0.63
28.0836,-80.6081,2,200.27,0.02,0.47,92.98,4.89,1.97,0.24
33.7804,-84.336,4,240.33,0.71,5.14,141.62,10.12,8.29,5.13
36.3231,-86.7133,3,236.99,1.03,1.27,134.47,10.95,9.92,2.74
33.8545,-84.2171,3,230.31,0.71,2.74,124.45,8.02,6.18,2.68
42.8126,-70.8773,3,230.31,0.2,3.56,108.72,4.7,4.15,1.0
41.7245,-81.2457,3,267.03,0.06,4.54,130.18,20.33,18.28,4.65
19.25,-98.1833,2,175.24,0.24,1.52,70.1,0.61,0.5,0.35
33.0185,-80.1757,3,223.64,0.21,1.46,104.43,11.07,6.55,5.42
33.5092,-111.899,2,226.97,0.77,3.98,98.71,11.85,3.35,1.1
42.3318,-71.1212,3,300.41,0.86,10.2,100.14,14.31,12.46,2.62
28.6194,-81.4426,2,198.6,0.02,0.49,94.41,4.29,2.65,0.13
54.1352,-1.5212,2,203.61,0.65,2.27,62.94,5.15,1.38,1.1
35.4976,-97.2689,3,243.66,0.86,1.65,124.45,12.41,11.72,2.21
30.2832,57.0788,2,660.9,2.15,67.86,9.66,31.05,13.44,9.66
27.0531,-82.4243,3,211.95,0.14,1.82,105.86,4.49,2.77,0.51
40.0456,-86.0086,3,233.65,0.81,1.09,121.59,10.8,9.87,5.42
19.8,-97.3,1,188.59,0.62,2.49,43.27,2.09,1.77,0.31
11.65,78.1667,4,707.63,8.36,21.59,19.49,62.16,53.19,21.46
42.0884,-87.9806,3,283.72,1.44,4.11,114.44,15.4,14.19,3.19
28.0342,-82.6651,2,216.96,0.09,1.05,92.98,4.6,3.49,0.73
35.949,-85.0269,3,208.62,0.35,0.53,101.57,5.69,5.3,1.42
32.8795,-111.7573,2,208.62,1.55,1.15,97.28,19.41,4.32,0.09
41.6392,-87.4548,3,333.79,1.69,15.94,117.3,19.53,16.62,12.52
39.4126,-76.4636,3,223.64,0.27,1.59,120.16,7.82,6.67,3.99
32.5667,-116.6333,2,433.92,2.5,17.65,86.55,15.56,6.78,2.0
36.707,-97.0856,3,240.33,1.16,0.75,115.87,12.14,11.42,2.06
43.9001,-78.8496,2,363.83,2.76,20.05,95.84,26.23,21.98,16.21
21.1,-89.2833,2,203.61,0.52,0.59,75.82,4.71,3.34,0.19
41.154,-80.7015,3,277.04,0.24,5.14,128.75,19.39,17.61,5.19
38.8906,-90.1843,4,327.11,1.05,4.03,148.77,23.98,21.91,6.86
38.6334,-90.4001,4,290.39,0.84,3.26,143.05,18.7,17.47,8.82
18.8667,-99.1833,2,330.45,0.35,6.68,95.84,4.66,3.07,7.99
19.275,-98.1931,2,175.24,0.24,1.52,70.1,0.61,0.5,0.35
33.9609,-118.0417,4,400.54,2.82,35.3,148.77,29.57,18.74,14.9
43.6629,-116.6874,1,263.69,2.88,4.46,47.92,18.23,6.63,0.16
50.4001,-105.5344,2,191.93,1.84,0.56,67.95,0.56,0.5,0.24
18.0667,-94.4,1,208.62,0.04,0.49,28.97,0.68,0.53,0.18
41.5823,-85.8344,3,260.35,0.92,2.08,123.02,14.92,13.88,9.66
20.467,-102.1498,2,170.23,0.95,0.34,81.54,1.01,0.79,1.42
27.0833,-101.5333,2,186.92,0.47,0.23,81.54,3.58,1.82,0.13
29.8752,-98.2625,3,243.66,0.72,0.76,127.32,12.91,9.78,2.35
39.7392,-104.9847,2,253.68,0.99,10.37,70.1,3.95,3.03,3.93
42.3195,-71.6412,3,226.97,0.2,1.48,111.58,6.64,6.21,0.67
28.6278,-81.3631,2,200.27,0.02,1.23,95.84,4.43,2.44,0.18
26.0629,-80.2331,2,201.94,0.08,1.35,92.98,2.21,0.8,0.39
25.8576,-80.2781,2,205.28,0.14,2.59,95.84,2.69,0.88,0.68
38.7043,-77.2278,3,260.35,1.35,3.94,108.72,12.22,9.87,3.31
41.6979,-72.7237,3,226.97,0.33,3.21,114.44,5.83,5.21,0.92
38.881,-77.3008,2,247.0,1.11,3.64,98.71,9.63,7.67,1.45
39.8434,-86.3978,3,240.33,0.71,1.31,123.02,11.68,10.49,6.02
34.064,-80.9582,3,233.65,0.39,0.84,105.86,11.1,9.27,1.04
19.5833,-98.5833,2,175.24,0.38,1.59,70.1,1.07,0.75,0.37
19.4167,-98.1667,2,165.22,0.19,0.99,63.66,0.55,0.5,0.06
41.6389,-87.6073,3,293.73,1.16,8.14,120.16,17.0,14.95,8.82
25.75,-108.75,2,233.65,0.5,0.58,67.95,5.47,4.64,0.25
46.0418,-73.1136,2,270.37,1.0,3.43,89.41,19.17,17.59,2.83
38.7484,-89.9832,4,347.14,1.17,7.63,158.79,26.81,24.83,12.16
24.6536,-107.5411,2,243.66,0.3,0.59,69.38,3.52,3.16,0.25
42.8713,-112.4455,1,208.62,2.15,2.08,59.37,7.14,2.98,0.13
42.6667,-83.3999,3,263.69,0.83,1.82,113.01,13.74,12.88,2.68
35.7113,-78.6142,3,260.35,0.6,2.36,120.16,16.57,14.44,2.5
30.5788,-97.8531,3,236.99,0.7,0.66,120.16,10.44,8.16,1.33
33.7333,-116.0508,2,213.62,0.66,1.48,97.28,18.18,4.46,0.48
44.8836,-93.1383,2,247.0,2.47,4.16,85.83,8.97,6.9,1.31
25.949,-80.2123,2,205.28,0.14,2.59,95.84,2.69,0.88,0.68
42.9289,-88.8371,2,240.33,1.65,1.11,94.41,10.82,9.84,1.64
32.2177,-82.4135,3,236.99,0.52,0.7,111.58,11.52,9.87,1.88
40.7012,-74.2301,3,233.65,0.41,4.11,114.44,7.62,6.18,2.21
25.8223,-80.2895,2,205.28,0.14,2.59,95.84,2.69,0.88,0.68
41.9173,-87.8956,3,293.73,1.33,5.91,115.87,16.92,15.5,4.17
38.7821,-77.1464,3,287.06,1.35,7.11,117.3,15.05,12.53,3.99
30.4427,-97.775,3,243.66,0.87,0.83,121.59,11.0,8.9,1.79
22.2333,-102.3,2,163.56,0.47,0.26,81.54,1.58,0.82,0.6
42.8666,-106.3131,2,188.59,1.28,0.74,84.4,24.41,5.06,0.05
45.4167,11.0333,2,317.1,28.37,10.97,31.47,13.34,10.9,0.74
33.9414,-118.3023,4,547.41,3.1,63.06,173.09,56.04,42.46,29.8
43.5009,-70.4428,2,216.96,0.12,1.21,94.41,4.33,4.09,0.38
20.9333,-89.0167,1,203.61,0.08,0.66,59.37,1.75,1.63,0.11
34.0453,-117.9437,3,263.69,1.25,10.37,133.04,21.71,12.75,7.21
42.1945,-71.1995,3,260.35,0.5,6.08,111.58,11.48,10.09,1.52
17.7667,-92.6,1,208.62,0.24,0.39,18.77,0.54,0.5,0.04
26.8333,-109.6333,2,223.64,0.82,0.53,78.68,8.18,5.06,0.69
33.9931,-117.9687,4,370.5,2.09,25.02,154.5,28.14,18.68,11.09
28.7086,-82.0831,2,211.95,0.06,0.56,90.12,5.33,3.81,0.38
41.9889,-88.6868,3,243.66,1.22,1.09,115.87,11.31,9.99,2.59
40.7244,-74.3069,3,233.65,0.41,4.11,114.44,7.62,6.18,2.21
33.8884,-118.309,4,547.41,3.1,63.06,173.09,56.04,42.46,29.8
33.9462,-84.3346,3,223.64,0.71,2.23,125.89,7.25,5.57,2.24
29.6994,-91.2068,4,253.68,0.92,1.16,140.19,11.82,9.61,3.01
42.0039,-87.9704,3,283.72,1.44,4.11,114.44,15.4,14.19,3.19
40.5853,-105.0844,2,250.34,1.03,4.5,65.09,7.4,6.79,0.94
38.7273,-90.3832,4,313.76,0.93,4.76,153.07,21.58,19.98,9.42
26.3826,-80.1859,2,201.94,0.06,1.01,91.55,2.79,1.19,0.28
42.1103,-88.0342,3,290.39,1.79,2.61,104.43,15.4,14.48,2.18
26.1915,-80.1442,2,203.61,0.11,1.84,91.55,3.11,0.94,0.47
32.7473,-116.9353,3,283.72,1.12,11.82,118.73,13.72,6.87,4.11
36.1397,-120.3602,3,205.28,0.45,0.55,121.59,2.86,1.28,0.06
-27.2667,28.4833,1,337.12,1.63,5.83,52.93,8.67,7.95,7.15
31.2232,-85.3905,3,226.97,0.92,0.56,110.15,9.18,8.08,1.43
41.9634,-87.979,3,293.73,1.33,5.91,115.87,16.92,15.5,4.17
40.7537,-86.0689,3,253.68,1.05,1.5,121.59,12.43,11.65,5.25
33.9526,-84.5499,3,226.97,0.8,2.19,120.16,7.77,5.89,1.97
35.2334,-106.6645,2,223.64,0.55,2.64,67.95,7.39,2.79,0.45
24.2933,-103.4503,2,161.89,0.39,0.15,72.24,2.67,0.95,0.04
33.7,-117.7675,4,303.75,1.28,11.65,167.37,22.27,15.86,7.33
18.1333,-94.1333,1,216.96,0.27,0.21,31.83,0.6,0.5,0.13
42.5751,-70.9301,3,293.73,0.81,10.63,104.43,10.82,9.43,2.56
46.0901,3.4459,1,236.99,5.07,7.97,33.26,4.46,3.78,0.54
47.0343,-122.8232,2,208.62,0.04,2.23,68.67,4.71,2.14,0.19
20.4903,-98.0336,2,191.93,0.15,0.34,77.25,1.41,1.25,0.12
40.749,-74.2613,3,233.65,0.41,4.11,114.44,7.62,6.18,2.21
42.0695,-72.6148,3,213.62,0.21,1.91,111.58,5.71,5.3,0.83
42.8336,-88.7323,2,240.33,1.55,1.31,95.84,11.02,10.09,1.71
40.2698,-74.7999,3,220.3,0.23,2.19,121.59,6.56,5.61,3.99
42.985,-78.878,3,273.71,0.13,5.01,117.3,21.72,20.0,7.33
18.2833,-100.2667,1,260.35,1.12,0.34,50.78,6.4,5.73,0.31
40.8559,-73.2007,3,340.46,1.17,19.36,138.76,19.38,14.72,5.72
38.678,-121.1761,3,257.02,1.09,6.43,111.58,7.03,5.17,1.33
36.6166,-121.0844,3,200.27,0.34,0.51,118.73,3.92,1.47,0.08
21.0,-101.2833,2,168.56,0.31,0.52,79.39,0.59,0.5,0.14
40.8256,-73.2026,3,340.46,1.17,19.36,138.76,19.38,14.72,5.72
34.1992,-118.1879,3,300.41,1.77,23.65,123.02,23.89,13.88,10.01
47.1554,-122.434,2,216.96,0.09,4.8,73.67,5.98,2.55,2.44
49.0748,19.3075,1,181.91,1.11,4.84,36.12,3.67,3.03,0.45
21.1561,-100.9308,2,168.56,0.33,0.48,80.82,0.6,0.5,0.05
36.3549,-79.6645,3,230.31,0.48,0.89,113.01,10.1,8.24,2.62
28.5911,-81.3942,2,203.61,0.09,2.19,98.71,4.31,1.87,0.38
41.6362,-70.9342,4,380.52,0.78,7.97,157.36,34.3,31.65,6.02
38.0685,-78.8895,3,216.96,1.47,0.94,110.15,5.93,4.42,0.69
33.6103,-114.5964,1,223.64,2.28,2.21,40.77,13.44,3.46,0.01
36.0003,-114.8761,2,216.96,0.71,5.01,90.84,16.93,4.51,1.25
32.464,-86.4597,3,223.64,0.36,0.75,111.58,8.77,7.81,1.21
45.0468,9.6994,2,400.54,44.58,14.91,21.28,17.0,12.84,1.3
42.1081,-87.7359,3,320.44,1.63,9.51,117.3,19.1,17.51,4.29
26.2756,-80.0873,2,201.94,0.06,1.01,91.55,2.79,1.19,0.28
45.3038,-93.5672,2,240.33,1.55,2.4,78.68,5.7,4.91,3.93
33.8847,-118.4109,4,801.09,2.12,94.59,107.29,77.4,60.07,14.78
39.328,-120.1833,2,180.24,0.1,0.84,92.98,1.29,1.01,0.19
44.0839,-93.226,2,220.3,1.65,0.65,92.98,7.04,5.23,0.87
38.8,121.2667,2,307.08,1.2,7.45,60.8,10.99,8.36,8.82
42.3472,-89.039,3,247.0,1.52,1.19,105.86,11.69,10.77,2.74
46.5927,-112.0361,2,160.22,0.19,0.32,60.8,0.6,0.5,0.01
16.5667,-92.8,1,233.65,0.43,0.49,39.7,0.92,0.79,0.08
43.5407,-116.5635,2,236.99,2.44,2.4,61.51,18.11,5.41,0.16
27.3298,-82.4576,3,213.62,0.19,2.96,104.43,4.56,2.76,0.53
