Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
31.7668,-93.1335,2,226.97,0.94,3.68,82.25,2.99,2.55,0.75
9.3151,-75.2928,1,313.76,1.06,5.14,22.17,2.72,2.38,0.47
20.5667,-100.7,2,191.93,1.57,1.91,89.41,5.09,3.96,1.0
43.2967,-87.9876,2,270.37,1.16,14.05,77.96,5.42,4.62,3.13
34.1706,-118.8376,3,340.46,0.0,14.74,125.89,27.79,23.17,5.48
42.3709,-71.1828,3,574.11,2.82,71.97,2.57,14.37,10.58,4.05
45.0761,-93.3327,2,250.34,1.74,9.17,90.12,5.43,4.58,2.56
42.8781,-73.1968,2,213.62,0.31,5.18,62.23,1.31,1.14,0.14
33.1626,-96.9375,3,277.04,1.22,14.05,104.43,5.7,4.87,2.3
27.9333,-110.9,2,191.93,0.22,0.61,85.12,6.9,2.14,0.24
47.1771,-122.1865,2,243.66,0.25,3.73,63.66,1.1,0.66,0.98
38.9717,-95.2353,3,220.3,0.87,1.84,104.43,3.94,3.63,1.51
36.2666,-118.8009,3,206.95,1.01,0.87,103.0,7.32,6.68,0.62
36.1001,-95.9003,3,243.66,0.92,5.57,101.57,3.4,3.06,2.18
44.0805,-103.231,2,178.58,0.73,1.16,79.39,2.58,0.69,0.03
34.0006,-118.1598,2,383.85,1.47,46.61,95.84,26.62,20.37,15.26
42.0953,-87.9376,2,313.76,1.55,29.47,67.95,5.91,4.45,7.15
40.1518,-75.3366,2,267.03,0.85,10.2,69.38,3.91,2.56,0.91
15.0646,120.7198,4,1762.39,15.2,27.42,2.37,85.22,67.42,6.44
60.7161,-135.0538,2,216.96,0.01,0.2,67.23,0.5,0.5,0.01
42.1167,-86.4542,3,233.65,0.55,4.16,104.43,6.79,6.23,9.66
42.4998,-71.3328,2,447.27,1.81,49.35,15.91,9.38,6.26,1.06
42.3584,-71.0598,3,574.11,2.82,71.97,2.57,14.37,10.58,4.05
20.3667,-101.0667,1,267.03,2.98,9.43,57.94,8.84,7.17,2.47
39.4332,-76.6494,2,240.33,1.01,4.93,77.25,2.29,1.6,0.46
41.2381,-81.8418,1,347.14,1.19,27.08,43.99,6.76,5.34,2.12
30.5102,-87.2125,2,260.35,0.8,9.0,70.81,4.99,4.29,1.86
34.0853,-117.9609,3,393.87,1.35,43.87,105.86,28.38,22.7,13.71
18.35,-99.85,2,410.56,1.03,3.13,72.96,18.31,16.67,2.33
30.4688,-87.2361,2,260.35,0.8,9.0,70.81,4.99,4.29,1.86
20.55,-104.0333,1,226.97,0.71,0.79,57.22,4.45,3.99,1.36
44.6689,-90.1718,2,220.3,1.11,1.52,90.12,3.01,2.8,1.15
34.0967,-117.7198,3,377.18,1.01,25.36,123.02,31.77,26.41,8.94
41.0668,-74.3657,2,233.65,0.43,5.27,75.1,2.05,1.47,0.09
42.5392,-82.9494,2,460.63,2.53,58.26,36.12,10.54,7.83,8.7
34.5894,-112.3252,2,161.89,0.15,0.32,94.41,7.43,3.24,0.09
40.6869,-111.8755,2,180.24,0.24,4.37,69.38,1.27,0.54,1.59
26.5254,-80.0664,3,220.3,0.29,3.21,100.14,12.35,3.15,0.76
40.3641,-111.7385,2,176.91,0.21,1.29,84.4,1.76,0.9,0.3
28.2833,-105.4833,2,201.94,0.73,1.74,94.41,8.08,4.44,1.88
40.0444,-111.7321,2,236.99,1.95,9.77,94.41,5.44,3.24,3.37
30.2141,-92.3746,2,253.68,1.2,5.66,90.84,4.88,4.08,1.3
35.4492,-86.7889,2,233.65,0.93,5.1,70.81,3.52,2.87,0.39
31.4352,-97.7439,3,216.96,0.78,1.03,101.57,3.59,3.36,0.8
51.9419,1.2844,1,253.68,1.41,33.24,0.17,10.01,7.51,3.19
35.362,-86.2094,2,230.31,4.05,4.46,67.95,2.91,2.13,0.62
40.3798,-79.8095,2,467.3,2.22,50.72,18.24,9.24,7.55,3.82
36.8252,-119.7029,3,205.28,0.52,0.68,105.86,4.58,3.91,0.72
22.2333,-102.3,2,196.93,0.67,0.47,74.39,3.05,2.51,0.43
40.7443,-73.4821,2,267.03,0.79,16.97,80.82,5.32,1.71,1.48
22.4,-101.1667,2,163.56,0.28,0.81,70.81,0.92,0.7,0.75
42.5751,-71.9981,2,226.97,0.36,6.34,70.81,1.31,0.99,0.04
41.575,-87.2389,2,293.73,1.24,19.19,79.39,5.22,4.44,6.08
42.5248,-83.5363,2,263.69,0.69,8.74,81.54,4.47,3.79,0.92
48.4001,-89.3168,2,230.31,0.85,2.79,82.25,3.58,3.28,1.43
33.0198,-96.6989,2,277.04,1.2,12.34,97.28,5.22,4.53,1.65
40.8429,-73.2929,2,247.0,0.5,7.71,92.98,2.24,1.51,0.86
34.2257,-77.9447,2,216.96,1.31,2.68,74.39,1.73,1.23,0.46
24.7994,-107.3897,2,233.65,0.53,2.83,77.96,10.13,7.1,0.54
47.9934,-122.1018,1,287.06,1.22,14.22,49.35,2.79,1.74,1.15
39.3407,-76.7222,2,250.34,0.89,8.48,74.39,3.19,1.92,0.41
26.8234,-80.1386,2,208.62,0.14,1.33,98.71,11.73,2.77,0.51
29.8752,-98.2625,3,230.31,0.98,1.76,115.87,6.04,5.49,0.8
39.1582,-75.5244,2,247.0,2.72,8.14,79.39,3.44,2.3,1.12
33.8596,-84.6838,2,230.31,1.43,8.23,82.97,5.1,3.3,9.78
19.6219,-99.3131,2,208.62,0.02,7.71,87.98,8.29,7.15,54.84
38.2668,-76.4538,2,247.0,0.52,5.44,81.54,4.02,3.02,1.67
38.7476,-77.083,1,357.15,1.73,32.22,49.35,6.12,4.16,2.95
19.6469,-99.2467,2,208.62,0.02,7.71,87.98,8.29,7.15,54.84
42.1817,-88.3304,2,240.33,0.98,6.26,88.69,3.91,3.11,1.74
19.1017,-99.5931,3,290.39,0.97,5.74,110.15,12.63,10.24,6.26
